fAKQJT,1
fKQJT9,2
fQJT98,3
fJT987,4
fT9876,5
f98765,6
f87654,7
f76543,8
f65432,9
fA5432,10
AAAAK,11
AAAAQ,12
AAAAJ,13
AAAAT,14
AAAA9,15
AAAA8,16
AAAA7,17
AAAA6,18
AAAA5,19
AAAA4,20
AAAA3,21
AAAA2,22
AKKKK,23
KKKKQ,24
KKKKJ,25
KKKKT,26
KKKK9,27
KKKK8,28
KKKK7,29
KKKK6,30
KKKK5,31
KKKK4,32
KKKK3,33
KKKK2,34
AQQQQ,35
KQQQQ,36
QQQQJ,37
QQQQT,38
QQQQ9,39
QQQQ8,40
QQQQ7,41
QQQQ6,42
QQQQ5,43
QQQQ4,44
QQQQ3,45
QQQQ2,46
AJJJJ,47
KJJJJ,48
QJJJJ,49
JJJJT,50
JJJJ9,51
JJJJ8,52
JJJJ7,53
JJJJ6,54
JJJJ5,55
JJJJ4,56
JJJJ3,57
JJJJ2,58
ATTTT,59
KTTTT,60
QTTTT,61
JTTTT,62
TTTT9,63
TTTT8,64
TTTT7,65
TTTT6,66
TTTT5,67
TTTT4,68
TTTT3,69
TTTT2,70
A9999,71
K9999,72
Q9999,73
J9999,74
T9999,75
99998,76
99997,77
99996,78
99995,79
99994,80
99993,81
99992,82
A8888,83
K8888,84
Q8888,85
J8888,86
T8888,87
98888,88
88887,89
88886,90
88885,91
88884,92
88883,93
88882,94
A7777,95
K7777,96
Q7777,97
J7777,98
T7777,99
97777,100
87777,101
77776,102
77775,103
77774,104
77773,105
77772,106
A6666,107
K6666,108
Q6666,109
J6666,110
T6666,111
96666,112
86666,113
76666,114
66665,115
66664,116
66663,117
66662,118
A5555,119
K5555,120
Q5555,121
J5555,122
T5555,123
95555,124
85555,125
75555,126
65555,127
55554,128
55553,129
55552,130
A4444,131
K4444,132
Q4444,133
J4444,134
T4444,135
94444,136
84444,137
74444,138
64444,139
54444,140
44443,141
44442,142
A3333,143
K3333,144
Q3333,145
J3333,146
T3333,147
93333,148
83333,149
73333,150
63333,151
53333,152
43333,153
33332,154
A2222,155
K2222,156
Q2222,157
J2222,158
T2222,159
92222,160
82222,161
72222,162
62222,163
52222,164
42222,165
32222,166
AAAKK,167
AAAQQ,168
AAAJJ,169
AAATT,170
AAA99,171
AAA88,172
AAA77,173
AAA66,174
AAA55,175
AAA44,176
AAA33,177
AAA22,178
AAKKK,179
KKKQQ,180
KKKJJ,181
KKKTT,182
KKK99,183
KKK88,184
KKK77,185
KKK66,186
KKK55,187
KKK44,188
KKK33,189
KKK22,190
AAQQQ,191
KKQQQ,192
QQQJJ,193
QQQTT,194
QQQ99,195
QQQ88,196
QQQ77,197
QQQ66,198
QQQ55,199
QQQ44,200
QQQ33,201
QQQ22,202
AAJJJ,203
KKJJJ,204
QQJJJ,205
JJJTT,206
JJJ99,207
JJJ88,208
JJJ77,209
JJJ66,210
JJJ55,211
JJJ44,212
JJJ33,213
JJJ22,214
AATTT,215
KKTTT,216
QQTTT,217
JJTTT,218
TTT99,219
TTT88,220
TTT77,221
TTT66,222
TTT55,223
TTT44,224
TTT33,225
TTT22,226
AA999,227
KK999,228
QQ999,229
JJ999,230
TT999,231
99988,232
99977,233
99966,234
99955,235
99944,236
99933,237
99922,238
AA888,239
KK888,240
QQ888,241
JJ888,242
TT888,243
99888,244
88877,245
88866,246
88855,247
88844,248
88833,249
88822,250
AA777,251
KK777,252
QQ777,253
JJ777,254
TT777,255
99777,256
88777,257
77766,258
77755,259
77744,260
77733,261
77722,262
AA666,263
KK666,264
QQ666,265
JJ666,266
TT666,267
99666,268
88666,269
77666,270
66655,271
66644,272
66633,273
66622,274
AA555,275
KK555,276
QQ555,277
JJ555,278
TT555,279
99555,280
88555,281
77555,282
66555,283
55544,284
55533,285
55522,286
AA444,287
KK444,288
QQ444,289
JJ444,290
TT444,291
99444,292
88444,293
77444,294
66444,295
55444,296
44433,297
44422,298
AA333,299
KK333,300
QQ333,301
JJ333,302
TT333,303
99333,304
88333,305
77333,306
66333,307
55333,308
44333,309
33322,310
AA222,311
KK222,312
QQ222,313
JJ222,314
TT222,315
99222,316
88222,317
77222,318
66222,319
55222,320
44222,321
33222,322
fAKQJ9,323
fAKQJ8,324
fAKQJ7,325
fAKQJ6,326
fAKQJ5,327
fAKQJ4,328
fAKQJ3,329
fAKQJ2,330
fAKQT9,331
fAKQT8,332
fAKQT7,333
fAKQT6,334
fAKQT5,335
fAKQT4,336
fAKQT3,337
fAKQT2,338
fAKQ98,339
fAKQ97,340
fAKQ96,341
fAKQ95,342
fAKQ94,343
fAKQ93,344
fAKQ92,345
fAKQ87,346
fAKQ86,347
fAKQ85,348
fAKQ84,349
fAKQ83,350
fAKQ82,351
fAKQ76,352
fAKQ75,353
fAKQ74,354
fAKQ73,355
fAKQ72,356
fAKQ65,357
fAKQ64,358
fAKQ63,359
fAKQ62,360
fAKQ54,361
fAKQ53,362
fAKQ52,363
fAKQ43,364
fAKQ42,365
fAKQ32,366
fAKJT9,367
fAKJT8,368
fAKJT7,369
fAKJT6,370
fAKJT5,371
fAKJT4,372
fAKJT3,373
fAKJT2,374
fAKJ98,375
fAKJ97,376
fAKJ96,377
fAKJ95,378
fAKJ94,379
fAKJ93,380
fAKJ92,381
fAKJ87,382
fAKJ86,383
fAKJ85,384
fAKJ84,385
fAKJ83,386
fAKJ82,387
fAKJ76,388
fAKJ75,389
fAKJ74,390
fAKJ73,391
fAKJ72,392
fAKJ65,393
fAKJ64,394
fAKJ63,395
fAKJ62,396
fAKJ54,397
fAKJ53,398
fAKJ52,399
fAKJ43,400
fAKJ42,401
fAKJ32,402
fAKT98,403
fAKT97,404
fAKT96,405
fAKT95,406
fAKT94,407
fAKT93,408
fAKT92,409
fAKT87,410
fAKT86,411
fAKT85,412
fAKT84,413
fAKT83,414
fAKT82,415
fAKT76,416
fAKT75,417
fAKT74,418
fAKT73,419
fAKT72,420
fAKT65,421
fAKT64,422
fAKT63,423
fAKT62,424
fAKT54,425
fAKT53,426
fAKT52,427
fAKT43,428
fAKT42,429
fAKT32,430
fAK987,431
fAK986,432
fAK985,433
fAK984,434
fAK983,435
fAK982,436
fAK976,437
fAK975,438
fAK974,439
fAK973,440
fAK972,441
fAK965,442
fAK964,443
fAK963,444
fAK962,445
fAK954,446
fAK953,447
fAK952,448
fAK943,449
fAK942,450
fAK932,451
fAK876,452
fAK875,453
fAK874,454
fAK873,455
fAK872,456
fAK865,457
fAK864,458
fAK863,459
fAK862,460
fAK854,461
fAK853,462
fAK852,463
fAK843,464
fAK842,465
fAK832,466
fAK765,467
fAK764,468
fAK763,469
fAK762,470
fAK754,471
fAK753,472
fAK752,473
fAK743,474
fAK742,475
fAK732,476
fAK654,477
fAK653,478
fAK652,479
fAK643,480
fAK642,481
fAK632,482
fAK543,483
fAK542,484
fAK532,485
fAK432,486
fAQJT9,487
fAQJT8,488
fAQJT7,489
fAQJT6,490
fAQJT5,491
fAQJT4,492
fAQJT3,493
fAQJT2,494
fAQJ98,495
fAQJ97,496
fAQJ96,497
fAQJ95,498
fAQJ94,499
fAQJ93,500
fAQJ92,501
fAQJ87,502
fAQJ86,503
fAQJ85,504
fAQJ84,505
fAQJ83,506
fAQJ82,507
fAQJ76,508
fAQJ75,509
fAQJ74,510
fAQJ73,511
fAQJ72,512
fAQJ65,513
fAQJ64,514
fAQJ63,515
fAQJ62,516
fAQJ54,517
fAQJ53,518
fAQJ52,519
fAQJ43,520
fAQJ42,521
fAQJ32,522
fAQT98,523
fAQT97,524
fAQT96,525
fAQT95,526
fAQT94,527
fAQT93,528
fAQT92,529
fAQT87,530
fAQT86,531
fAQT85,532
fAQT84,533
fAQT83,534
fAQT82,535
fAQT76,536
fAQT75,537
fAQT74,538
fAQT73,539
fAQT72,540
fAQT65,541
fAQT64,542
fAQT63,543
fAQT62,544
fAQT54,545
fAQT53,546
fAQT52,547
fAQT43,548
fAQT42,549
fAQT32,550
fAQ987,551
fAQ986,552
fAQ985,553
fAQ984,554
fAQ983,555
fAQ982,556
fAQ976,557
fAQ975,558
fAQ974,559
fAQ973,560
fAQ972,561
fAQ965,562
fAQ964,563
fAQ963,564
fAQ962,565
fAQ954,566
fAQ953,567
fAQ952,568
fAQ943,569
fAQ942,570
fAQ932,571
fAQ876,572
fAQ875,573
fAQ874,574
fAQ873,575
fAQ872,576
fAQ865,577
fAQ864,578
fAQ863,579
fAQ862,580
fAQ854,581
